S|1781392260000|68.96|68.83|69.04035599|68.83|2.31|5
L|1781470740000|67.79|67.91|67.71582524|67.92|28.23|5
L|1781535180000|73.7|73.89|73.58255663|73.94|1.21|5
L|1781537520000|73.88|74.06|73.76873786|74.18|7.53|5
L|1781722680000|73.35|74.36|72.72569579|74.36|17.54|5
L|1781742360000|72.13|72.25|72.05582524|72.33|6.11|5
L|1781858460000|68.53|68.68|68.43728155|68.68|6.22|5
L|1781892600000|69.14|69.27|69.05964401|69.48|1.63|5
S|1782101400000|73.58|73.31|73.7468932|73.31|1.2|5
S|1782122100000|73.81|73.65|73.90889968|73.53|3.06|5
S|1782281460000|69.94|69.79|70.03271845|69.79|5.1|5
S|1782320580000|66.88|66.61|67.0468932|66.25|3.4|5
S|1782438600000|67.4|67.18|67.53598706|67.11|0.72|5
S|1782479160000|68.89|68.77|68.96417476|68.74|3.9|5
S|1782509340000|72.24|72.1|72.32653722|71.77|3.94|5
S|1782599400000|70.74|70.62|70.81417476|70.19|2.44|5
L|1782645420000|71.44|71.76|71.24220065|71.76|5.18|5
L|1782655020000|71.7|71.95|71.54546926|72.07|3.93|5
S|1782687660000|70.47|69.65|70.97686084|69.65|11.54|5
S|1782694080000|70.87|70.75|70.94417476|70.71|14.99|5
L|1782704520000|72.72|73.12|72.47275081|73.28|0.84|5
S|1782734520000|72.53|72.09|72.80197411|72.09|12.34|5
L|1782747660000|73.83|74.28|73.55184466|74.38|5.92|5
L|1782892920000|74.69|74.94|74.53546926|74.94|1.29|5
S|1782934620000|77.31|77.17|77.39653722|77.16|0.77|5
S|1782950760000|77.39|77.22|77.49508091|77.1|0.92|5
S|1782951720000|77.28|77.09|77.39744337|77|4.05|5
L|1782974520000|78.24|78.39|78.14728155|78.39|5.72|5
S|1782997500000|81.46|81.25|81.58980583|81.19|10|5
L|1783103160000|81.73|81.89|81.63110032|81.89|3|5
L|1783140960000|83.53|83.82|83.35074434|83.95|0.24|5
S|1783378140000|82.42|82.29|82.50035599|82.29|0.63|5
S|1783517400000|76.85|76.58|77.0168932|76.58|9.83|5
S|1783604160000|77.69|77.46|77.83216828|77.29|9.25|5
L|1783697940000|78.1|78.34|77.95165049|78.34|0.83|5
S|1783790700000|77.95|77.74|78.07980583|77.62|0.95|5
L|1783841460000|76.46|76.65|76.34255663|76.65|1|5
L|1784154960000|77.55|77.68|77.46964401|77.68|2.1|5
L|1784211720000|76.49|76.64|76.39728155|76.64|1.88|5
L|1784511000000|76.86|77.09|76.71783172|77.2|11.52|5
S|1784532120000|75.79|75.62|75.89508091|75.46|1.9|5
L|1784571780000|77.96|78.24|77.78692557|78.34|3.74|5
S|1784646360000|77.94|77.75|78.05744337|77.75|0.95|5
L|1784725740000|77.3|77.69|77.05893204|77.71|1.3|5
S|1785169500000|75.59|75.44|75.68271845|74.98|0.51|5
S|1785194400000|74.32|73.95|74.5487055|73.73|0.51|5
S|1785336600000|73.29|73.15|73.37653722|73.05|7.1|5
S|1785381300000|73.85|73.7|73.94271845|73.7|1.72|5
S|1785394860000|73.63|73.44|73.74744337|73.44|45.44|5
S|1785474060000|73.92|73.77|74.01271845|73.69|8.67|5
S|1786207680000|76.25|76.12|76.33035599|76.12|1.63|5
S|1786318560000|76.43|76.29|76.51653722|76.27|1.27|5
S|1786331820000|76.58|76.34|76.72834951|76.34|7.34|5
S|1786331940000|76.67|76.34|76.87398058|76.34|13.47|5
L|1786529220000|76.64|76.87|76.49783172|76.87|1.09|5
L|1786991520000|75.95|76.12|75.84491909|76.14|4.35|5
L|1787052360000|76.24|76.37|76.15964401|76.37|1.58|5
S|1787196660000|84.38|84.23|84.47271845|84.22|0.7|5
L|1787323140000|91.16|91.38|91.02401294|91.67|0.95|5
